log_id,asset_id,maintenance_date,maintenance_type
84,91,11/10/2023,Repair
85,68,7/2/2023,Repair
86,74,11/16/2023,Repair
87,73,6/8/2023,Inspection
88,86,10/11/2021,Replacement
89,67,12/4/2023,Repair
90,89,10/2/2021,Repair
91,80,10/12/2024,Inspection
92,56,7/9/2024,Repair
93,94,1/2/2021,Inspection
94,62,10/11/2023,Replacement
95,85,5/9/2022,Repair
96,83,12/8/2022,Replacement
97,20,8/27/2022,Repair
98,79,6/16/2021,Inspection
99,2,10/25/2021,Repair
100,21,5/28/2022,Repair
101,61,8/20/2021,Replacement
102,22,7/1/2021,Inspection
103,97,7/10/2021,Replacement
104,42,4/21/2023,Inspection
105,43,1/3/2022,Replacement
106,7,11/15/2024,Repair
107,29,4/7/2023,Repair
108,83,11/18/2024,Replacement
109,52,9/9/2022,Inspection
110,11,4/28/2021,Replacement
111,57,10/5/2022,Repair
112,58,10/26/2024,Inspection
113,64,5/8/2022,Replacement
114,41,8/19/2024,Inspection
115,64,2/5/2024,Repair
116,84,1/29/2023,Inspection
117,14,5/27/2023,Replacement
118,53,6/27/2021,Inspection
119,72,9/22/2021,Repair
120,1,3/6/2022,Inspection
121,78,4/20/2023,Repair
122,82,4/10/2022,Replacement
123,66,11/6/2024,Repair
124,27,3/14/2023,Repair
125,86,4/19/2024,Replacement
126,44,1/25/2024,Replacement
127,7,6/12/2022,Inspection
128,59,11/30/2023,Replacement
129,72,1/30/2022,Repair
130,77,9/2/2023,Replacement
131,92,5/21/2021,Repair
132,47,9/7/2021,Repair
133,58,2/4/2023,Inspection
134,13,3/27/2024,Repair
135,29,5/1/2023,Inspection
136,44,1/2/2023,Replacement
137,82,4/30/2021,Replacement
138,71,10/6/2022,Repair
139,48,9/5/2022,Repair
140,14,2/11/2022,Inspection
141,22,9/13/2024,Replacement
142,18,2/2/2023,Repair
143,96,3/18/2024,Repair
144,53,8/1/2021,Inspection
145,33,12/24/2023,Repair
146,26,10/1/2022,Inspection
147,16,8/1/2023,Replacement
148,28,7/12/2021,Replacement
149,25,6/2/2023,Repair
150,44,7/21/2021,Inspection
151,97,4/27/2022,Replacement
152,6,2/21/2021,Repair
153,87,11/28/2022,Repair
154,16,7/11/2022,Replacement
155,59,4/24/2022,Repair
156,76,2/14/2021,Repair
157,18,9/25/2023,Replacement
158,1,12/10/2024,Repair
159,95,8/29/2024,Inspection
160,71,3/23/2022,Replacement
161,75,10/12/2024,Replacement
162,66,12/23/2021,Inspection
163,89,11/5/2024,Repair
164,23,7/29/2024,Repair
165,17,4/20/2024,Inspection
166,50,11/20/2022,Repair
167,77,12/26/2021,Repair
168,42,9/1/2024,Repair
169,50,8/27/2021,Replacement
170,78,1/4/2021,Repair
171,98,7/8/2023,Inspection
172,36,7/23/2023,Replacement
173,44,8/22/2024,Replacement
174,58,8/31/2022,Inspection
175,18,8/29/2021,Replacement
176,78,5/15/2022,Repair
177,96,11/14/2021,Repair
178,39,12/11/2021,Repair
179,71,7/22/2023,Replacement
180,92,10/26/2024,Repair
181,71,10/1/2024,Repair
182,28,7/30/2021,Inspection
183,27,9/30/2021,Repair
184,92,7/28/2024,Replacement
185,88,7/27/2021,Replacement
186,87,4/14/2022,Inspection
187,91,9/10/2021,Repair
188,23,6/10/2023,Repair
189,70,10/10/2024,Repair
190,82,1/4/2022,Replacement
191,91,1/9/2022,Inspection
192,98,5/7/2023,Replacement
193,72,8/6/2024,Replacement
194,75,8/11/2022,Repair
195,86,12/16/2023,Repair
196,54,6/1/2022,Repair
197,96,11/18/2021,Repair
198,37,1/17/2021,Replacement
199,2,7/21/2023,Repair
200,14,10/11/2021,Inspection
