payment_id,bill_id,payment_date,payment_amount,payment_method
187,184,4/15/2022,461.29,Credit Card
188,181,2/19/2022,476.4,Check
189,73,1/24/2022,303.4,Credit Card
190,253,11/9/2024,293.96,Credit Card
191,252,10/21/2023,67.08,Credit Card
192,120,1/30/2022,320.75,Credit Card
193,270,11/17/2022,265.1,ACH
194,104,4/5/2022,412.9,ACH
195,91,3/7/2023,463.45,ACH
196,31,9/24/2024,59.86,Check
197,73,9/22/2024,398.46,Check
198,187,3/13/2021,482.25,ACH
199,203,11/12/2024,313.71,ACH
200,155,2/19/2024,195.17,Credit Card
201,224,9/25/2021,406.33,ACH
202,163,1/26/2022,128.39,Check
203,183,5/19/2022,150.46,Check
204,90,9/1/2022,220.27,Check
205,151,2/16/2021,107.31,Check
206,1,8/11/2024,476.95,Check
207,201,8/22/2023,432.84,Check
208,17,12/3/2023,131.94,ACH
209,114,7/18/2024,337.84,Credit Card
210,255,3/3/2023,113.29,Check
211,40,4/19/2024,157.1,ACH
212,86,8/9/2023,336.28,Credit Card
213,172,2/26/2024,250.98,ACH
214,108,12/4/2024,162.29,Credit Card
215,180,7/11/2024,165.5,Credit Card
216,1,8/21/2023,71.67,ACH
217,215,9/21/2024,486.1,ACH
218,253,4/23/2024,446.8,ACH
219,280,6/26/2023,218.91,ACH
220,296,6/15/2021,342.94,Check
221,116,8/30/2021,123.2,Credit Card
222,18,10/12/2024,182.71,ACH
223,134,4/19/2024,478.25,Credit Card
224,176,1/23/2024,126.55,ACH
225,83,4/5/2022,379.39,Check
226,48,3/6/2023,202.08,Check
227,248,12/17/2024,367.03,ACH
228,85,11/8/2024,323.29,ACH
229,81,12/6/2022,74.1,ACH
230,106,4/9/2024,488.48,ACH
231,284,7/11/2023,374.92,Check
232,277,2/23/2021,169.37,ACH
233,153,10/27/2023,156.9,Credit Card
234,202,8/27/2021,307.3,ACH
235,79,3/13/2024,74.53,Credit Card
236,219,12/30/2022,89.43,Check
237,246,1/4/2023,139.85,Credit Card
238,106,5/28/2024,126.87,ACH
239,42,9/15/2021,263.11,Credit Card
240,158,1/31/2024,403.19,ACH
241,251,8/6/2023,452.69,ACH
242,47,2/20/2024,338.84,ACH
243,95,10/5/2021,216.96,ACH
244,190,12/19/2022,133.96,Credit Card
245,135,12/5/2024,247.88,ACH
246,116,10/24/2023,426.69,Check
247,32,8/11/2022,118.01,Check
248,50,1/6/2024,88.57,ACH
249,278,8/31/2021,236.29,Check
250,117,6/28/2021,299.12,ACH
251,268,3/17/2023,238.38,Check
252,244,8/10/2024,307.72,Credit Card
253,244,9/12/2023,184.48,ACH
254,18,4/28/2024,275.95,Check
255,293,8/10/2022,354.89,Check
256,76,5/19/2023,104.13,ACH
257,89,5/3/2023,477.08,Credit Card
258,109,6/25/2024,413.81,Credit Card
259,22,3/21/2023,240.52,Check
260,223,12/28/2024,140.86,Check
261,76,8/16/2024,425.35,ACH
262,164,4/13/2021,459.86,Credit Card
263,45,5/4/2022,224.64,ACH
264,283,12/20/2022,196.76,ACH
265,267,6/29/2023,256.17,Credit Card
266,268,4/22/2024,401.76,Credit Card
267,213,8/7/2023,117.34,Check
268,299,3/22/2022,391.27,Credit Card
269,55,3/23/2023,303.21,Credit Card
270,147,9/29/2024,440.36,ACH
271,211,6/3/2021,168.86,Check
272,249,1/11/2021,307.41,ACH
273,20,6/16/2021,127.49,ACH
274,74,4/4/2021,328.21,Check
275,206,4/20/2024,67.45,ACH
276,122,7/25/2023,72.18,ACH
277,138,8/19/2023,453.66,Credit Card
278,173,12/27/2022,417.82,ACH
279,160,11/9/2022,176.16,ACH
280,51,11/12/2023,487.62,Credit Card
281,69,6/25/2022,185.22,Check
282,227,7/9/2024,398.31,ACH
283,138,8/17/2023,377.96,Check
284,46,12/9/2023,134.57,Credit Card
285,209,11/12/2021,383.43,Check
286,192,8/30/2021,419.46,Check
287,82,11/5/2021,79.53,Check
288,260,8/15/2021,231.52,Check
289,292,10/17/2023,63.03,Credit Card
290,103,5/26/2021,426.64,Credit Card
291,17,12/1/2023,255.4,ACH
292,102,11/22/2021,173.29,ACH
293,259,8/1/2023,228.62,Credit Card
294,16,12/30/2022,158.87,ACH
295,229,12/28/2023,129.91,ACH
296,283,5/18/2022,207.39,Credit Card
297,133,11/29/2021,387.03,Check
298,47,11/26/2023,178.28,ACH
299,26,6/10/2024,123.31,Check
300,110,1/26/2023,435.7,Check
