account_id,rate_plan_id,start_date,end_date
159,1,4/4/2023,8/7/2024
50,3,5/20/2023,12/21/2021
125,4,5/2/2024,10/22/2023
85,5,10/17/2021,10/12/2021
169,3,3/30/2021,11/13/2022
178,5,9/19/2022,8/16/2022
40,5,6/20/2024,7/12/2024
146,3,9/17/2021,6/6/2022
81,4,8/9/2022,8/30/2023
44,1,10/10/2024,11/3/2023
81,2,9/16/2023,6/6/2024
57,4,6/11/2022,8/19/2021
71,3,2/15/2023,10/8/2022
35,3,7/20/2023,8/12/2023
123,4,8/23/2022,3/5/2022
115,3,4/22/2022,7/16/2022
199,3,12/25/2023,10/10/2021
125,5,6/15/2024,6/19/2021
28,2,5/9/2024,3/30/2024
166,5,6/9/2022,6/3/2021
21,3,3/10/2023,4/6/2024
36,5,6/18/2023,2/25/2024
51,3,1/3/2024,6/30/2021
188,1,7/10/2024,10/9/2022
187,1,11/6/2022,10/6/2021
5,5,5/13/2022,4/21/2023
162,1,8/17/2022,12/26/2023
149,5,9/12/2023,3/27/2021
104,5,4/24/2022,3/7/2024
55,1,4/26/2021,1/19/2024
142,3,4/7/2023,4/23/2021
140,5,3/13/2023,9/18/2022
121,2,9/19/2024,7/26/2024
94,4,7/14/2023,4/4/2024
58,5,4/21/2024,4/3/2022
188,3,5/21/2021,3/17/2023
35,4,6/2/2024,3/5/2022
129,5,2/3/2023,9/19/2023
24,4,8/22/2023,3/7/2021
94,5,3/9/2023,3/17/2023
3,2,12/12/2021,9/12/2024
158,2,9/19/2023,8/26/2023
194,5,5/28/2023,8/1/2023
36,4,9/19/2023,11/2/2022
41,2,5/16/2024,11/7/2021
145,5,9/23/2021,3/28/2023
169,2,8/7/2024,5/16/2024
189,4,8/30/2022,10/29/2021
92,1,4/18/2022,3/27/2023
57,4,8/26/2024,11/14/2023
60,1,7/9/2022,7/14/2023
68,3,2/9/2024,12/21/2022
60,1,10/13/2023,9/21/2023
172,2,11/8/2022,4/7/2022
133,3,8/18/2024,8/7/2022
100,4,12/3/2022,12/8/2022
117,1,2/13/2022,5/6/2022
11,3,5/14/2023,11/28/2021
27,5,11/9/2023,1/5/2021
163,3,4/18/2022,5/20/2023
190,3,3/7/2021,8/4/2023
149,5,7/18/2021,10/2/2023
146,2,10/14/2023,6/30/2024
97,4,4/1/2023,9/19/2022
94,5,2/27/2024,4/2/2023
168,1,8/9/2022,7/30/2024
133,3,7/4/2021,10/12/2023
97,2,8/7/2021,9/16/2022
133,4,9/1/2023,1/5/2022
91,3,1/6/2024,4/25/2023
125,4,7/21/2021,7/30/2024
155,1,5/24/2024,11/23/2021
129,2,5/11/2022,10/26/2021
113,2,9/21/2022,11/24/2024
59,1,10/5/2022,2/20/2023
132,3,11/27/2023,10/14/2021
55,2,5/1/2022,5/5/2023
48,2,8/9/2023,1/12/2024
93,5,12/24/2021,3/3/2022
184,1,12/4/2024,10/26/2024
170,2,11/14/2024,1/23/2021
107,3,12/25/2022,10/9/2022
185,1,5/17/2021,7/7/2024
124,4,8/9/2024,12/30/2022
123,2,2/19/2024,5/18/2022
152,2,11/9/2021,8/24/2022
166,4,3/11/2024,7/21/2021
6,2,1/15/2023,2/19/2021
12,2,2/19/2024,8/11/2024
147,5,4/4/2023,5/16/2023
42,2,1/24/2023,3/12/2022
162,5,3/9/2021,1/29/2022
11,5,8/17/2024,10/21/2024
38,1,12/22/2021,3/28/2022
43,3,7/25/2024,11/7/2022
47,5,11/22/2022,4/25/2022
104,5,9/1/2022,10/29/2021
145,1,7/30/2024,7/24/2024
185,3,4/2/2022,4/12/2024
22,2,7/4/2024,12/15/2022
115,5,6/14/2023,11/7/2021
121,4,12/30/2022,2/8/2023
44,2,9/17/2021,12/28/2022
106,5,5/28/2021,10/8/2022
37,5,9/17/2022,1/17/2023
