usage_id,meter_id,usage_date,kwh_used,peak_usage_flag
88,173,5/22/2021,860.75,FALSE
89,82,3/14/2024,630.53,FALSE
90,139,11/26/2022,45.54,TRUE
91,61,12/18/2024,634.85,FALSE
92,59,5/16/2021,749.3,FALSE
93,26,10/24/2022,762.77,TRUE
94,114,7/3/2023,174.7,FALSE
95,8,12/15/2023,55.53,TRUE
96,76,12/12/2021,364.88,FALSE
97,38,12/10/2024,251.76,FALSE
98,145,10/11/2021,684.98,TRUE
99,44,8/23/2023,183.32,FALSE
100,159,7/7/2023,686.3,FALSE
101,150,8/28/2023,151.69,FALSE
102,164,10/27/2021,261.44,FALSE
103,171,8/12/2021,19.3,FALSE
104,74,6/15/2023,680.83,TRUE
105,19,6/18/2023,447.31,FALSE
106,151,12/23/2023,306.16,FALSE
107,177,6/7/2023,257.6,FALSE
108,51,12/20/2023,999.38,FALSE
109,28,12/13/2024,244.83,FALSE
110,148,7/30/2023,302.91,FALSE
111,6,11/20/2023,978.17,FALSE
112,71,4/5/2024,18.02,TRUE
113,156,12/30/2024,747.72,FALSE
114,199,10/22/2022,800.87,FALSE
115,57,9/24/2023,640.25,FALSE
116,174,3/22/2024,758.02,TRUE
117,161,11/19/2021,106.19,TRUE
118,80,7/29/2024,790.72,TRUE
119,149,4/11/2024,371.21,TRUE
120,24,10/2/2024,910.53,FALSE
121,192,5/27/2023,421.35,TRUE
122,34,7/8/2022,788.65,FALSE
123,136,1/2/2022,506.78,FALSE
124,43,3/14/2021,264.4,FALSE
125,76,8/13/2023,749.09,FALSE
126,30,10/4/2022,473.65,TRUE
127,37,9/25/2022,756.61,TRUE
128,174,11/6/2023,726.97,FALSE
129,143,8/18/2023,372.12,FALSE
130,4,5/21/2023,271.81,TRUE
131,117,9/26/2024,374.9,FALSE
132,150,1/22/2024,387.22,FALSE
133,28,4/19/2022,678.09,FALSE
134,7,5/5/2023,623.35,FALSE
135,157,1/22/2022,229.15,TRUE
136,163,11/26/2024,825.62,FALSE
137,167,5/24/2022,414.21,TRUE
138,12,4/10/2023,946.8,FALSE
139,127,8/8/2023,124.96,TRUE
140,138,5/14/2023,144.31,FALSE
141,95,4/25/2024,673.78,FALSE
142,151,1/30/2023,744.85,TRUE
143,107,4/16/2021,658.37,FALSE
144,158,3/15/2022,414.03,FALSE
145,9,3/3/2021,693.38,TRUE
146,114,10/14/2022,450.25,TRUE
147,93,7/22/2022,108.36,FALSE
148,140,5/7/2021,902.68,FALSE
149,16,9/8/2022,404.16,TRUE
150,32,5/21/2023,949.52,FALSE
151,24,10/15/2022,666.14,TRUE
152,13,8/26/2024,788.93,TRUE
153,33,6/15/2022,789.11,TRUE
154,18,4/29/2023,831.52,TRUE
155,151,4/15/2024,223.79,TRUE
156,85,3/30/2024,776.62,TRUE
157,71,7/20/2023,859.82,TRUE
158,34,4/5/2021,544.81,TRUE
159,29,9/7/2022,664.45,TRUE
160,34,3/17/2024,24.71,TRUE
161,151,3/25/2024,330.53,TRUE
162,68,5/26/2023,61.88,FALSE
163,135,7/17/2024,122.51,TRUE
164,122,10/28/2023,453.79,FALSE
165,132,6/29/2023,597.73,FALSE
166,129,4/18/2022,229.33,TRUE
167,187,10/8/2024,785.39,FALSE
168,118,7/7/2024,646.91,TRUE
169,16,6/28/2023,998.6,FALSE
170,110,11/4/2022,689.24,FALSE
171,183,10/31/2023,910.6,TRUE
172,21,2/25/2024,328.89,TRUE
173,17,2/13/2021,134.93,FALSE
174,98,7/15/2021,994.68,FALSE
175,117,12/12/2023,510.5,FALSE
176,26,3/8/2023,795.17,TRUE
177,168,9/13/2021,654.41,TRUE
178,111,4/18/2024,457.04,TRUE
179,106,5/19/2022,345.54,FALSE
180,103,12/20/2024,421.83,TRUE
181,81,3/14/2024,432.5,FALSE
182,96,2/11/2022,954.06,FALSE
183,18,1/7/2022,100.31,TRUE
184,24,2/19/2021,437.56,FALSE
185,34,4/8/2022,560.81,FALSE
186,172,5/19/2021,131.01,FALSE
187,171,4/21/2021,941.72,FALSE
188,185,4/9/2024,60.93,FALSE
189,154,1/9/2022,319.32,TRUE
190,148,9/18/2022,512.34,TRUE
191,169,6/23/2023,487.37,TRUE
192,90,5/17/2023,846.92,FALSE
193,30,1/1/2024,764.98,TRUE
194,110,7/8/2024,846.7,TRUE
195,156,12/27/2023,929.79,FALSE
196,8,3/25/2024,188.61,FALSE
197,87,2/15/2021,357.51,TRUE
198,37,11/7/2022,570.66,FALSE
199,18,11/14/2023,150.46,TRUE
200,24,3/17/2023,748.65,TRUE
201,97,12/15/2023,425.63,FALSE
202,41,12/23/2021,376.35,FALSE
203,199,2/5/2022,941.99,TRUE
204,14,12/2/2023,164.02,TRUE
205,173,7/5/2021,90.77,FALSE
206,170,7/27/2023,429.77,FALSE
207,107,2/6/2022,280.44,TRUE
208,89,3/19/2024,435.61,FALSE
209,174,8/31/2024,681.7,FALSE
210,135,4/18/2021,670.46,TRUE
211,57,7/28/2023,401.31,TRUE
212,2,1/5/2022,212.38,TRUE
213,197,8/5/2021,145.86,FALSE
214,75,4/8/2021,334.84,TRUE
215,128,11/27/2023,749.54,TRUE
216,34,8/6/2022,386.41,TRUE
217,129,10/10/2022,563.14,FALSE
218,19,12/6/2021,403.1,TRUE
219,112,4/30/2021,28.55,TRUE
220,81,11/28/2023,580,FALSE
221,182,5/26/2021,643.74,FALSE
222,30,12/2/2023,410.98,FALSE
223,44,10/5/2024,803.31,FALSE
224,177,2/11/2021,920.57,TRUE
225,112,6/10/2023,846.04,TRUE
226,112,1/11/2021,592.98,TRUE
227,102,8/19/2024,871.82,FALSE
228,57,12/2/2024,339.74,TRUE
229,20,4/23/2022,515.38,TRUE
230,136,8/5/2023,514.85,FALSE
231,90,12/7/2021,730.11,TRUE
232,61,3/1/2021,111.78,FALSE
233,51,3/16/2024,181.76,TRUE
234,195,4/10/2024,761.56,TRUE
235,46,1/3/2024,951.78,FALSE
236,119,1/29/2024,756.9,FALSE
237,175,3/29/2021,924.91,FALSE
238,161,11/23/2023,322.98,FALSE
239,18,10/26/2021,474.23,FALSE
240,71,7/11/2023,595.51,FALSE
241,130,10/24/2024,83.45,FALSE
242,116,4/14/2021,47.23,FALSE
243,74,12/6/2022,85.96,TRUE
244,158,8/6/2024,598.14,FALSE
245,119,1/26/2022,584.53,TRUE
246,116,7/13/2022,909.96,TRUE
247,83,2/25/2021,608.96,TRUE
248,16,7/4/2023,456.02,FALSE
249,183,9/24/2021,93.49,TRUE
250,11,9/2/2023,255.27,FALSE
251,113,12/28/2024,528.83,TRUE
252,94,5/23/2023,379.12,FALSE
253,100,7/27/2021,414.68,FALSE
254,174,5/5/2021,601.91,FALSE
255,17,2/23/2022,336.39,FALSE
256,73,5/3/2024,259.48,TRUE
257,86,12/18/2022,90.69,TRUE
258,90,3/7/2023,317.13,FALSE
259,34,2/19/2021,599.09,TRUE
260,80,4/7/2024,563.33,FALSE
261,33,8/17/2022,673.42,TRUE
262,166,9/25/2022,673.75,FALSE
263,5,10/3/2022,368.97,TRUE
264,55,3/30/2023,348.32,FALSE
265,50,12/21/2022,234.28,TRUE
266,40,10/4/2022,86.39,TRUE
267,130,9/8/2022,773.17,TRUE
268,170,7/13/2024,343.4,TRUE
269,153,12/23/2022,382.95,TRUE
270,47,6/22/2022,833.03,TRUE
271,185,1/19/2021,443.3,FALSE
272,94,10/21/2024,679.6,TRUE
273,114,9/22/2024,614.49,FALSE
274,60,8/12/2024,538.67,FALSE
275,121,1/7/2024,904.93,TRUE
276,95,7/10/2024,681.52,FALSE
277,119,1/22/2023,771.74,FALSE
278,129,1/28/2024,532.19,TRUE
279,52,12/29/2023,803.25,TRUE
280,65,10/22/2023,61.66,FALSE
281,96,5/7/2021,559,TRUE
282,183,1/28/2022,847.43,TRUE
283,73,3/6/2022,93.04,TRUE
284,70,12/8/2021,454.83,TRUE
285,112,6/18/2024,100.8,TRUE
286,116,4/10/2023,885.78,TRUE
287,107,8/17/2024,62.72,FALSE
288,61,5/17/2024,392.3,TRUE
289,96,1/7/2022,232.29,FALSE
290,26,3/2/2023,840.78,FALSE
291,38,1/11/2024,146.22,FALSE
292,121,10/8/2023,699.11,TRUE
293,195,11/21/2021,708.48,FALSE
294,158,6/4/2022,15.2,TRUE
295,5,9/13/2024,263.36,TRUE
296,141,1/23/2021,940.82,FALSE
297,29,6/13/2022,778.41,TRUE
298,78,5/18/2022,130.63,TRUE
299,108,5/11/2022,642.56,FALSE
300,17,3/30/2024,119.75,FALSE
301,153,4/11/2024,540.69,TRUE
302,184,9/8/2024,152.14,FALSE
303,1,1/15/2024,618.66,TRUE
304,147,4/30/2022,422.4,TRUE
305,135,4/21/2024,974.91,TRUE
306,135,8/11/2023,548.64,TRUE
307,100,4/8/2022,874.6,TRUE
308,163,5/15/2024,393.01,FALSE
309,65,8/17/2021,749.84,FALSE
310,18,2/22/2021,351.35,TRUE
311,198,1/8/2024,586.08,FALSE
312,35,3/7/2023,53.89,FALSE
313,165,8/5/2021,183.34,FALSE
314,179,6/25/2024,483.75,TRUE
315,35,8/20/2024,72.47,FALSE
316,10,2/9/2022,300.51,TRUE
317,52,6/16/2022,886.93,FALSE
318,80,8/29/2024,520.23,FALSE
319,65,3/2/2024,46.25,TRUE
320,74,10/10/2021,363.4,TRUE
321,168,9/27/2022,338.61,TRUE
322,95,6/1/2022,442.58,FALSE
323,191,2/7/2022,445.34,FALSE
324,87,11/18/2024,973.99,FALSE
325,178,5/12/2024,502.55,FALSE
326,22,2/13/2024,729.81,TRUE
327,111,12/2/2021,606.43,TRUE
328,140,8/31/2022,300.83,TRUE
329,21,9/18/2022,334.64,FALSE
330,79,9/20/2022,451.46,FALSE
331,43,3/2/2023,692.87,FALSE
332,115,11/30/2024,51.93,FALSE
333,158,6/12/2024,998.17,FALSE
334,164,1/25/2021,980.23,TRUE
335,20,12/3/2022,674.47,FALSE
336,94,9/3/2023,517.96,TRUE
337,8,4/23/2024,151.35,FALSE
338,9,1/19/2023,134.97,TRUE
339,200,7/24/2022,648.71,FALSE
340,99,4/13/2021,949.97,TRUE
341,155,9/23/2024,161.9,FALSE
342,95,5/9/2021,378.29,TRUE
343,147,1/2/2023,146.32,FALSE
344,102,6/1/2023,321.24,FALSE
345,64,3/5/2024,960.91,TRUE
346,189,4/15/2023,194.19,FALSE
347,144,7/18/2022,126.58,FALSE
348,181,4/9/2023,451.81,FALSE
349,178,10/29/2024,917.31,FALSE
350,52,12/18/2024,131.41,TRUE
351,116,10/29/2023,180.93,FALSE
352,23,11/28/2022,812.41,FALSE
353,171,4/2/2022,353.95,TRUE
354,141,9/1/2021,546.75,FALSE
355,41,5/15/2023,714.69,TRUE
356,93,9/16/2022,513.67,TRUE
357,52,9/1/2021,794.15,TRUE
358,127,9/29/2024,36.02,FALSE
359,120,12/18/2023,805.63,TRUE
360,157,10/31/2023,885.4,TRUE
361,80,6/17/2023,404.18,FALSE
362,135,7/22/2021,416.69,FALSE
363,148,1/30/2022,83.01,FALSE
364,165,10/1/2021,83.42,FALSE
365,175,1/17/2022,522.19,TRUE
366,200,4/6/2023,555.79,TRUE
367,197,1/22/2022,966.6,FALSE
368,129,10/24/2021,911.61,TRUE
369,32,12/21/2024,522.92,FALSE
370,43,7/26/2021,170.35,TRUE
371,89,1/30/2023,948.01,FALSE
372,21,4/6/2024,258.1,FALSE
373,33,7/28/2021,628.77,TRUE
374,129,1/8/2024,644.58,TRUE
375,44,6/21/2022,662.15,FALSE
376,145,6/10/2023,50.78,TRUE
377,21,12/8/2024,55.01,FALSE
378,167,9/20/2022,218.7,FALSE
379,159,10/20/2021,642.6,FALSE
380,161,5/8/2022,550.12,FALSE
381,124,10/6/2024,252.43,FALSE
382,77,2/21/2023,459.01,TRUE
383,41,1/13/2023,445.21,FALSE
384,119,9/16/2021,211.98,TRUE
385,81,11/20/2021,862.87,FALSE
386,188,2/27/2022,988.14,FALSE
387,103,1/15/2022,139.46,FALSE
388,132,7/17/2022,566.03,FALSE
389,62,3/19/2024,471.81,FALSE
390,116,8/24/2024,255.44,TRUE
391,13,7/14/2021,297.31,FALSE
392,158,11/27/2021,423.95,TRUE
393,84,7/25/2022,934.41,FALSE
394,49,6/22/2024,765.49,FALSE
395,132,10/28/2024,472.15,FALSE
396,128,1/31/2023,32.94,FALSE
397,130,8/20/2022,462.66,TRUE
398,56,1/7/2023,587.51,TRUE
399,13,2/1/2024,288.54,FALSE
400,74,8/26/2024,541.32,TRUE
401,111,3/30/2023,142.6,FALSE
402,187,12/10/2021,372.12,FALSE
403,94,1/29/2024,54.79,TRUE
404,146,3/26/2021,566.2,FALSE
405,142,9/30/2022,295.72,FALSE
406,130,1/19/2021,455.85,FALSE
407,160,4/17/2024,683.59,TRUE
408,33,8/24/2022,975.33,FALSE
409,96,12/28/2024,796.95,FALSE
410,143,11/19/2022,939.56,TRUE
411,51,5/8/2024,606.44,FALSE
412,129,4/10/2023,49.85,TRUE
413,36,6/25/2023,716.46,FALSE
414,133,10/22/2024,462.42,TRUE
415,84,11/7/2023,932.06,FALSE
416,42,1/10/2024,399.03,FALSE
417,152,1/30/2022,343.01,FALSE
418,182,10/29/2022,567.3,FALSE
419,5,4/4/2024,374.67,TRUE
420,107,7/15/2021,587.87,TRUE
421,153,11/12/2022,479.84,TRUE
422,185,12/2/2021,60.84,FALSE
423,44,2/20/2024,528.99,FALSE
424,38,6/27/2023,823.44,TRUE
425,9,4/22/2022,576.84,TRUE
426,49,10/11/2021,28.75,FALSE
427,108,11/30/2023,159.92,TRUE
428,106,5/31/2023,506.8,FALSE
429,189,1/26/2022,730.13,TRUE
430,133,12/3/2022,215.27,FALSE
431,170,9/25/2021,483.59,FALSE
432,81,9/19/2021,957.12,FALSE
433,137,7/25/2022,348.9,FALSE
434,174,2/17/2021,774.27,FALSE
435,157,2/16/2023,489.34,TRUE
436,72,10/14/2023,562.51,TRUE
437,77,9/25/2022,773.46,TRUE
438,177,1/9/2024,707.94,FALSE
439,123,1/11/2023,355.32,FALSE
440,74,8/5/2021,130.66,FALSE
441,102,7/6/2021,820.19,TRUE
442,75,12/4/2023,51.65,TRUE
443,89,10/20/2022,924.77,FALSE
444,192,11/25/2023,484.29,TRUE
445,138,12/5/2021,278.42,FALSE
446,36,6/8/2022,118.13,TRUE
447,63,10/1/2021,60.26,TRUE
448,164,7/3/2021,240.51,TRUE
449,106,4/30/2023,336.99,FALSE
450,26,7/9/2024,684.38,TRUE
451,2,12/18/2022,964.87,TRUE
452,105,4/15/2022,656.36,FALSE
453,123,1/23/2022,654.03,FALSE
454,83,11/7/2023,292.56,TRUE
455,197,12/8/2023,98.57,TRUE
456,137,10/6/2021,741.3,TRUE
457,45,3/28/2022,423.71,TRUE
458,10,8/19/2024,997.2,FALSE
459,127,8/13/2021,194.45,FALSE
460,10,6/11/2021,19.17,TRUE
461,86,8/14/2023,291.72,FALSE
462,35,9/10/2024,852.55,FALSE
463,70,5/20/2023,200.88,TRUE
464,85,9/5/2023,170.87,FALSE
465,166,3/2/2021,264.69,TRUE
466,4,6/29/2021,739.25,FALSE
467,146,10/14/2022,677.66,TRUE
468,45,11/21/2021,614.84,FALSE
469,110,1/2/2022,520.13,TRUE
470,103,5/18/2023,672.56,TRUE
471,36,3/31/2023,482.68,TRUE
472,2,7/31/2021,268.18,TRUE
473,115,2/21/2024,756.22,FALSE
474,78,3/7/2021,586.64,TRUE
475,67,7/28/2023,657.15,TRUE
476,16,5/14/2023,671.11,FALSE
477,79,10/21/2021,168.12,FALSE
478,177,4/28/2022,126.24,FALSE
479,95,12/29/2023,618.48,TRUE
480,35,2/24/2021,483.4,FALSE
481,192,6/6/2024,988.95,FALSE
482,107,12/11/2024,704.92,FALSE
483,194,8/11/2024,542.14,TRUE
484,196,1/24/2023,254.99,TRUE
485,135,9/13/2022,452.28,FALSE
486,20,5/30/2023,918.07,TRUE
487,16,3/9/2021,830.49,TRUE
488,147,10/26/2021,541.29,TRUE
489,84,11/17/2022,855.94,FALSE
490,30,7/9/2024,683.49,FALSE
491,24,9/5/2021,899.9,FALSE
492,15,9/22/2021,458.9,FALSE
493,117,5/26/2022,568.27,FALSE
494,173,8/22/2022,808.85,TRUE
495,102,6/2/2022,261.91,TRUE
496,191,7/7/2024,225.72,TRUE
497,12,2/7/2024,429.46,TRUE
498,139,11/11/2021,994.18,TRUE
499,121,5/12/2021,41.42,FALSE
500,47,7/19/2023,771.28,FALSE
