bill_id,account_id,billing_period_start,billing_period_end,total_amount,due_date
207,101,3/15/2022,6/16/2023,214.26,1/8/2021
208,145,9/17/2023,4/18/2023,139.91,8/2/2021
209,140,1/25/2022,12/23/2023,130.97,7/29/2022
210,197,6/6/2021,12/17/2024,297.54,4/22/2023
211,187,10/27/2023,2/7/2023,257.73,10/8/2023
212,182,9/26/2023,12/11/2024,144.34,10/16/2024
213,75,10/16/2021,6/19/2024,424.08,5/20/2021
214,18,11/16/2022,8/2/2023,418.53,1/27/2022
215,105,8/18/2023,11/19/2022,352.84,7/18/2021
216,36,7/5/2023,8/19/2022,335,9/8/2024
217,62,2/17/2024,6/27/2021,163.71,1/5/2022
218,40,3/22/2023,2/7/2024,371.86,3/9/2023
219,97,5/9/2021,5/3/2022,83.28,5/4/2024
220,154,7/13/2024,12/16/2021,265.66,11/19/2024
221,103,10/25/2021,3/24/2023,290.47,3/24/2023
222,178,2/1/2023,3/23/2021,238.24,10/26/2021
223,10,11/13/2023,12/21/2024,405.82,5/9/2024
224,93,7/22/2024,9/1/2022,365.74,12/23/2021
225,138,5/7/2023,11/4/2021,317.22,8/9/2021
226,22,5/5/2023,3/9/2024,99.22,12/10/2021
227,64,2/17/2024,6/1/2024,345.92,1/22/2022
228,91,11/27/2022,5/3/2021,124.85,11/27/2023
229,157,6/18/2021,3/24/2022,69.93,9/12/2023
230,166,12/19/2021,7/9/2021,354.86,12/17/2023
231,103,3/27/2021,12/26/2022,485.07,2/7/2022
232,85,2/23/2022,12/29/2021,484.57,1/13/2022
233,111,4/11/2024,6/21/2023,97.68,9/22/2024
234,26,8/7/2022,4/10/2023,166.43,6/22/2021
235,131,6/1/2022,9/9/2022,386.08,2/18/2021
236,143,1/16/2022,6/11/2021,311.23,1/19/2021
237,148,9/4/2024,7/27/2021,149.46,7/5/2024
238,96,11/19/2021,9/10/2021,226.01,1/21/2023
239,198,9/9/2022,4/3/2023,355.8,10/9/2024
240,177,6/27/2022,1/13/2022,275.21,2/1/2023
241,89,5/29/2021,8/25/2024,498.97,10/31/2024
242,124,9/4/2021,8/16/2024,97.05,2/15/2023
243,107,10/12/2023,7/29/2022,464.25,11/6/2024
244,22,6/17/2021,5/18/2024,102.23,6/24/2023
245,187,2/25/2023,8/26/2024,113.75,5/25/2021
246,80,2/23/2023,12/9/2023,204.38,1/7/2023
247,53,9/10/2022,10/9/2023,284.5,8/16/2023
248,90,3/9/2023,6/18/2021,264.27,1/30/2021
249,113,10/1/2022,6/7/2021,374.9,11/23/2023
250,116,11/20/2023,10/3/2023,193.51,11/26/2021
251,77,3/15/2022,10/6/2021,70.11,1/15/2024
252,182,3/9/2023,11/22/2024,101.79,6/7/2021
253,88,12/29/2022,12/16/2024,341.59,12/20/2021
254,174,6/11/2022,11/23/2022,410.02,9/18/2021
255,190,9/20/2023,4/22/2022,159.76,9/25/2022
256,45,10/7/2024,1/14/2022,298.36,4/7/2021
257,85,7/9/2022,7/20/2024,301.93,10/22/2024
258,119,6/6/2022,1/28/2021,154.33,5/4/2022
259,104,11/9/2024,2/15/2023,333.39,8/31/2022
260,48,8/12/2021,1/19/2022,338.22,4/6/2021
261,111,5/6/2021,3/16/2024,228.01,6/28/2021
262,189,12/3/2022,9/20/2023,326.35,4/11/2022
263,51,1/28/2024,12/19/2021,252.31,12/31/2022
264,110,2/4/2024,2/24/2024,224.98,12/22/2024
265,181,11/6/2021,10/10/2024,146.66,6/10/2023
266,72,12/17/2023,10/26/2021,388.55,7/6/2024
267,17,11/8/2023,12/30/2021,309.81,8/3/2021
268,138,8/22/2022,11/10/2023,134.13,12/28/2023
269,84,3/22/2022,8/23/2022,138.68,1/6/2022
270,30,3/28/2021,11/8/2024,168.06,12/21/2023
271,126,9/14/2024,7/6/2021,287.47,6/7/2023
272,164,11/3/2022,2/1/2022,191.03,7/6/2022
273,100,12/19/2024,12/8/2023,325.09,12/9/2023
274,151,7/7/2023,4/11/2022,101.4,2/3/2021
275,91,4/25/2023,5/26/2024,430.48,2/10/2024
276,159,7/8/2022,3/23/2024,127.64,12/7/2023
277,173,10/27/2022,3/24/2024,367.69,12/5/2024
278,77,5/16/2023,2/10/2022,463.41,5/14/2023
279,152,10/24/2023,5/12/2021,88.14,1/21/2023
280,35,8/9/2021,10/22/2021,190.93,6/6/2024
281,62,7/28/2024,4/5/2024,187.42,3/14/2021
282,47,9/18/2023,1/18/2021,217.99,5/20/2022
283,37,6/14/2021,12/18/2021,279.87,10/3/2022
284,108,7/11/2022,9/18/2021,318.39,5/31/2021
285,148,10/14/2024,5/14/2024,222.67,1/13/2023
286,48,2/16/2024,12/16/2021,269,1/24/2023
287,138,9/30/2022,11/1/2022,362.04,6/19/2024
288,166,12/5/2022,11/25/2023,468.81,11/7/2021
289,45,9/17/2022,11/23/2024,299.71,4/30/2024
290,126,11/5/2022,12/17/2024,179.98,12/16/2024
291,48,3/19/2023,3/2/2023,191.56,3/31/2023
292,116,5/26/2023,9/20/2022,328.73,12/28/2023
293,92,12/25/2022,10/26/2023,478.33,2/21/2024
294,125,10/1/2023,4/1/2022,111.44,6/19/2021
295,99,9/24/2023,1/19/2022,483.72,12/17/2022
296,130,7/11/2023,7/2/2023,343.88,10/10/2022
297,105,7/18/2023,9/13/2021,358.11,7/6/2023
298,107,10/31/2021,1/8/2022,369.56,3/18/2023
299,114,12/28/2022,8/10/2021,269.91,3/16/2023
300,22,2/18/2021,1/31/2024,304.43,6/1/2021
